Date,Power [kW],Power-1 [kW],Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Gust [m/s],Pressure [mbar],Solar Radiation [W/m2],Rainfall intensity [mm/h],Rain Day,Hour,DayOfWeek,Month,Season,Public Holiday
2017-01-04 00:00:00,48.486898,48.5146475,14.35,84.6,1.153,2.013,1027.0,0.581,0.0,0.0,0,3,1,1,0
2017-01-04 01:00:00,47.967305,48.486898,13.26,87.9,1.698,2.264,1026.0,0.415,0.0,0.0,1,3,1,1,0
2017-01-04 02:00:00,46.479757,47.967305,13.06,89.5,1.342,1.761,1026.0,0.692,0.0,0.0,2,3,1,1,0
2017-01-04 03:00:00,46.3685405,46.479757,12.44,90.2,2.264,3.019,1027.0,0.471,0.0,0.0,3,3,1,1,0
2017-01-04 04:00:00,44.5423175,46.3685405,11.74,91.1,3.103,3.774,1027.0,1.274,0.0,0.0,4,3,1,1,0
2017-01-04 05:00:00,49.3222235,44.5423175,11.67,91.4,2.956,3.774,1026.0,1.745,0.0,0.0,5,3,1,1,0
2017-01-04 06:00:00,53.757118,49.3222235,11.56,91.5,2.159,2.516,1027.0,1.662,0.0,0.0,6,3,1,1,0
2017-01-04 07:00:00,89.052734,53.757118,11.58,91.7,1.405,2.013,1027.0,3.296,0.0,0.0,7,3,1,1,0
2017-01-04 08:00:00,109.9052815,89.052734,11.46,91.9,1.3,1.509,1028.0,9.03,0.0,0.0,8,3,1,1,0
2017-01-04 09:00:00,126.5930005,109.9052815,11.43,92.0,1.237,1.509,1028.0,33.87,0.0,0.0,9,3,1,1,0
2017-01-04 10:00:00,222.585076,126.5930005,11.82,91.9,0.0,0.0,1029.0,114.5,0.0,0.0,10,3,1,1,0
2017-01-04 11:00:00,196.8739625,222.585076,11.91,91.8,1.551,2.013,1029.0,242.8,0.0,0.0,11,3,1,1,0
2017-01-04 12:00:00,200.8982955,196.8739625,12.84,90.9,1.635,2.013,1028.0,405.6,0.0,0.0,12,3,1,1,0
2017-01-04 13:00:00,207.1819185,200.8982955,13.81,85.3,1.069,1.509,1027.0,341.6,0.0,0.0,13,3,1,1,0
2017-01-04 14:00:00,212.2375715,207.1819185,14.22,82.9,1.95,2.516,1027.0,115.7,0.0,0.0,14,3,1,1,0
2017-01-04 15:00:00,212.1615335,212.2375715,14.14,84.2,2.013,2.516,1027.0,142.1,0.0,0.0,15,3,1,1,0
2017-01-04 16:00:00,207.215786,212.1615335,13.9,85.8,1.803,2.264,1027.0,64.01,0.0,0.0,16,3,1,1,0
2017-01-04 17:00:00,153.886491,207.215786,13.77,86.6,1.992,2.264,1027.0,14.7,0.0,0.0,17,3,1,1,0
2017-01-04 18:00:00,133.6671565,153.886491,13.58,87.0,2.013,2.264,1027.0,0.664,0.0,0.0,18,3,1,1,0
2017-01-04 19:00:00,100.0067945,133.6671565,13.55,87.7,1.656,2.013,1028.0,0.665,0.0,0.0,19,3,1,1,0
2017-01-04 20:00:00,79.0683765,100.0067945,13.24,88.6,1.95,2.767,1028.0,0.554,0.0,0.0,20,3,1,1,0
2017-01-04 21:00:00,59.149261,79.0683765,12.97,89.9,1.908,2.264,1028.0,0.748,0.0,0.0,21,3,1,1,0
2017-01-04 22:00:00,49.2278315,59.149261,12.7,90.1,1.572,2.013,1028.0,0.692,0.0,0.0,22,3,1,1,0
2017-01-04 23:00:00,47.202555,49.2278315,12.23,90.9,0.0,0.0,1028.0,1.717,0.0,0.0,23,3,1,1,0
2017-01-05 00:00:00,46.359145,47.202555,11.9,91.5,1.593,2.013,1028.0,1.329,0.0,0.0,0,4,1,1,0
2017-01-05 01:00:00,44.576185,46.359145,12.01,91.8,0.0,0.0,1027.0,0.997,0.0,0.0,1,4,1,1,0
2017-01-05 02:00:00,43.4388925,44.576185,11.56,92.0,0.168,0.755,1027.0,0.831,0.0,0.0,2,4,1,1,0
2017-01-05 03:00:00,42.7965025,43.4388925,11.1,92.4,1.719,2.013,1027.0,1.329,0.0,0.0,3,4,1,1,0
2017-01-05 04:00:00,43.1919875,42.7965025,10.76,93.2,2.537,2.767,1027.0,1.191,0.0,0.0,4,4,1,1,0
2017-01-05 05:00:00,47.8901745,43.1919875,10.63,93.6,1.069,1.761,1027.0,1.357,0.0,0.0,5,4,1,1,0
2017-01-05 06:00:00,52.149832,47.8901745,9.88,94.9,2.138,2.516,1026.0,0.914,0.1,0.1,6,4,1,1,0
2017-01-05 07:00:00,86.5699185,52.149832,9.29,95.2,3.941,4.78,1026.0,1.163,0.0,0.1,7,4,1,1,0
2017-01-05 08:00:00,107.6713375,86.5699185,9.12,95.4,2.809,3.774,1027.0,4.514,0.0,0.1,8,4,1,1,0
2017-01-05 09:00:00,133.7043015,107.6713375,8.72,95.8,1.405,2.013,1027.0,38.56,0.0,0.1,9,4,1,1,0
2017-01-05 10:00:00,219.4091785,133.7043015,9.04,95.6,1.363,2.264,1027.0,104.8,0.0,0.1,10,4,1,1,0
2017-01-05 11:00:00,190.9233335,219.4091785,9.48,95.4,1.509,2.264,1027.0,188.6,0.0,0.1,11,4,1,1,0
2017-01-05 12:00:00,191.6133565,190.9233335,9.4,95.4,1.992,2.264,1027.0,184.6,0.0,0.1,12,4,1,1,0
2017-01-05 13:00:00,198.440826,191.6133565,9.93,95.2,1.447,1.761,1027.0,314.8,0.0,0.1,13,4,1,1,0
2017-01-05 14:00:00,199.73085,198.440826,10.38,95.1,2.348,2.767,1026.0,341.8,0.0,0.1,14,4,1,1,0
2017-01-05 15:00:00,200.502155,199.73085,9.98,95.3,2.138,3.271,1026.0,146.4,0.0,0.1,15,4,1,1,0
2017-01-05 16:00:00,201.316286,200.502155,9.89,94.8,2.474,2.767,1026.0,91.3,0.0,0.1,16,4,1,1,0
2017-01-05 17:00:00,152.317224,201.316286,9.85,94.9,3.837,4.277,1026.0,14.01,0.0,0.1,17,4,1,1,0
2017-01-05 18:00:00,138.8705155,152.317224,10.06,95.0,2.474,3.019,1026.0,1.052,0.0,0.1,18,4,1,1,0
2017-01-05 19:00:00,107.349924,138.8705155,10.02,95.1,1.593,1.761,1026.0,1.108,0.0,0.1,19,4,1,1,0
2017-01-05 20:00:00,83.7128125,107.349924,9.79,95.4,1.426,1.761,1026.0,1.135,0.0,0.1,20,4,1,1,0
2017-01-05 21:00:00,59.170237,83.7128125,9.85,95.4,1.363,2.264,1026.0,0.914,0.0,0.1,21,4,1,1,0
2017-01-05 22:00:00,48.8651215,59.170237,9.41,95.7,1.468,2.767,1026.0,0.775,0.0,0.1,22,4,1,1,0
2017-01-05 23:00:00,44.972107,48.8651215,9.12,95.9,3.711,4.528,1026.0,1.135,0.0,0.1,23,4,1,1,0
2017-01-06 00:00:00,42.7742155,44.972107,9.39,95.7,1.824,2.516,1026.0,0.997,0.1,0.0,0,5,1,1,0
2017-01-06 01:00:00,42.6933705,42.7742155,9.44,95.8,1.74,2.013,1026.0,0.72,0.0,0.0,1,5,1,1,0
2017-01-06 02:00:00,42.9546965,42.6933705,9.22,95.9,1.509,1.761,1026.0,1.246,0.0,0.0,2,5,1,1,0
2017-01-06 03:00:00,43.1190085,42.9546965,8.98,96.2,2.222,2.767,1026.0,0.499,0.0,0.0,3,5,1,1,0
2017-01-06 04:00:00,42.6820085,43.1190085,8.1,96.7,2.411,3.774,1026.0,1.302,0.0,0.0,4,5,1,1,0
2017-01-06 05:00:00,46.7133335,42.6820085,8.34,96.6,2.684,4.025,1026.0,0.526,0.0,0.0,5,5,1,1,0
2017-01-06 06:00:00,52.3580625,46.7133335,8.32,96.7,2.914,5.032,1026.0,0.803,0.0,0.0,6,5,1,1,0
2017-01-06 07:00:00,88.637584,52.3580625,7.9,96.9,5.136,6.793,1027.0,0.028,0.0,0.0,7,5,1,1,0
2017-01-06 08:00:00,109.6548805,88.637584,7.8,96.9,3.837,5.535,1027.0,4.266,0.0,0.0,8,5,1,1,0
2017-01-06 09:00:00,123.7079265,109.6548805,7.06,97.3,4.759,6.038,1027.0,37.31,0.0,0.0,9,5,1,1,0
2017-01-06 10:00:00,218.510925,123.7079265,7.02,97.4,5.074,7.3,1028.0,108.1,0.1,0.1,10,5,1,1,0
2017-01-06 11:00:00,199.508417,218.510925,7.24,97.2,5.43,6.541,1028.0,222.3,0.0,0.1,11,5,1,1,0
2017-01-06 12:00:00,206.4827185,199.508417,7.55,97.1,2.809,4.528,1027.0,269.8,0.0,0.1,12,5,1,1,0
2017-01-06 13:00:00,210.840701,206.4827185,7.88,96.9,4.067,4.78,1027.0,267.9,0.0,0.1,13,5,1,1,0
2017-01-06 14:00:00,212.9761015,210.840701,10.42,81.6,2.432,3.774,1026.0,414.5,0.0,0.1,14,5,1,1,0
2017-01-06 15:00:00,216.6853575,212.9761015,11.99,73.5,2.6,3.774,1026.0,316.9,0.0,0.1,15,5,1,1,0
2017-01-06 16:00:00,213.9645955,216.6853575,12.44,72.0,1.551,3.019,1026.0,180.7,0.0,0.1,16,5,1,1,0
2017-01-06 17:00:00,159.6756485,213.9645955,12.33,73.0,3.606,4.025,1026.0,36.59,0.0,0.1,17,5,1,1,0
2017-01-06 18:00:00,141.3225225,159.6756485,12.26,72.2,3.732,4.025,1026.0,1.135,0.0,0.1,18,5,1,1,0
2017-01-06 19:00:00,104.9488275,141.3225225,12.53,69.35,2.977,3.271,1027.0,0.803,0.0,0.1,19,5,1,1,0
2017-01-06 20:00:00,78.147836,104.9488275,12.71,65.98,5.346,6.289,1027.0,0.886,0.0,0.1,20,5,1,1,0
2017-01-06 21:00:00,57.3215085,78.147836,11.67,68.56,4.298,5.786,1027.0,0.803,0.0,0.1,21,5,1,1,0
2017-01-06 22:00:00,47.5733495,57.3215085,10.72,67.62,5.325,6.038,1028.0,0.831,0.0,0.1,22,5,1,1,0
2017-01-06 23:00:00,46.919816,47.5733495,9.8,72.9,3.124,4.277,1028.0,0.72,0.0,0.1,23,5,1,1,0
2017-01-07 00:00:00,46.517776,46.919816,9.63,70.7,2.138,2.767,1029.0,1.053,0.0,0.0,0,6,1,1,0
2017-01-07 01:00:00,45.453681,46.517776,9.29,72.1,3.166,3.522,1028.0,0.609,0.0,0.0,1,6,1,1,0
2017-01-07 02:00:00,44.258049,45.453681,9.03,75.2,4.151,5.032,1028.0,0.72,0.0,0.0,2,6,1,1,0
2017-01-07 03:00:00,43.994975,44.258049,8.57,77.6,3.795,4.78,1028.0,0.582,0.0,0.0,3,6,1,1,0
2017-01-07 04:00:00,43.751129,43.994975,7.98,80.5,3.438,4.025,1028.0,0.305,0.0,0.0,4,6,1,1,0
2017-01-07 05:00:00,43.977932,43.751129,7.5,79.7,4.885,5.786,1029.0,0.748,0.0,0.0,5,6,1,1,0
2017-01-07 06:00:00,44.3238175,43.977932,7.32,79.0,3.375,5.535,1029.0,0.886,0.0,0.0,6,6,1,1,0
2017-01-07 07:00:00,48.347058,44.3238175,7.23,78.3,4.172,5.535,1029.0,0.776,0.0,0.0,7,6,1,1,0
2017-01-07 08:00:00,49.4201115,48.347058,6.974,78.6,3.753,5.032,1030.0,10.22,0.0,0.0,8,6,1,1,0
2017-01-07 09:00:00,49.287045,49.4201115,7.94,72.9,3.292,4.277,1030.0,131.5,0.0,0.0,9,6,1,1,0
2017-01-07 10:00:00,49.1574745,49.287045,8.52,69.94,4.612,5.535,1031.0,272.8,0.0,0.0,10,6,1,1,0
2017-01-07 11:00:00,49.183476,49.1574745,9.17,65.29,3.292,4.528,1031.0,386.3,0.0,0.0,11,6,1,1,0
2017-01-07 12:00:00,49.186098,49.183476,10.04,62.09,3.082,4.277,1030.0,452.1,0.0,0.0,12,6,1,1,0
2017-01-07 13:00:00,49.1771395,49.186098,10.98,61.49,3.438,4.025,1029.0,463.0,0.0,0.0,13,6,1,1,0
2017-01-07 14:00:00,50.7647605,49.1771395,11.88,60.46,2.83,3.522,1028.0,417.9,0.0,0.0,14,6,1,1,0
2017-01-07 15:00:00,50.671024,50.7647605,13.29,57.48,1.509,2.264,1028.0,322.9,0.0,0.0,15,6,1,1,0
2017-01-07 16:00:00,51.3197505,50.671024,14.37,54.74,0.0,0.0,1029.0,187.7,0.0,0.0,16,6,1,1,0
2017-01-07 17:00:00,54.73862,51.3197505,12.52,62.31,1.363,1.761,1029.0,15.26,0.0,0.0,17,6,1,1,0
2017-01-07 18:00:00,53.7599585,54.73862,12.09,65.7,3.271,3.774,1029.0,0.886,0.0,0.0,18,6,1,1,0
2017-01-07 19:00:00,54.438401,53.7599585,11.96,67.82,3.396,3.774,1029.0,0.609,0.0,0.0,19,6,1,1,0
2017-01-07 20:00:00,53.2984865,54.438401,12.05,65.26,2.39,2.767,1029.0,0.775,0.0,0.0,20,6,1,1,0
2017-01-07 21:00:00,47.452519,53.2984865,11.31,70.5,1.405,1.509,1030.0,0.665,0.0,0.0,21,6,1,1,0
2017-01-07 22:00:00,46.3348915,47.452519,11.6,64.13,2.872,3.019,1030.0,0.831,0.0,0.0,22,6,1,1,0
2017-01-07 23:00:00,45.7244025,46.3348915,10.69,65.3,3.375,3.522,1030.0,0.803,0.0,0.0,23,6,1,1,0
2017-01-08 00:00:00,44.863294,45.7244025,9.98,67.26,3.459,3.774,1030.0,0.582,0.0,0.0,0,7,1,1,0
2017-01-08 01:00:00,43.598616,44.863294,9.58,67.93,4.864,5.283,1029.0,0.416,0.0,0.0,1,7,1,1,0
2017-01-08 02:00:00,43.7688275,43.598616,9.11,66.36,4.298,5.032,1029.0,0.388,0.0,0.0,2,7,1,1,0
2017-01-08 03:00:00,43.4410775,43.7688275,7.92,74.6,2.621,3.522,1029.0,0.443,0.0,0.0,3,7,1,1,0
2017-01-08 04:00:00,43.285287,43.4410775,7.23,79.8,2.767,3.774,1029.0,0.637,0.0,0.0,4,7,1,1,0
2017-01-08 05:00:00,43.05324,43.285287,6.825,77.9,3.459,4.025,1029.0,0.0,0.0,0.0,5,7,1,1,0
2017-01-08 06:00:00,43.0967215,43.05324,6.646,78.3,3.795,4.277,1029.0,0.526,0.0,0.0,6,7,1,1,0
2017-01-08 07:00:00,47.309183,43.0967215,6.371,80.4,4.487,5.032,1029.0,0.526,0.0,0.0,7,7,1,1,0
2017-01-08 08:00:00,47.2490955,47.309183,6.181,81.7,3.962,4.277,1030.0,9.34,0.0,0.0,8,7,1,1,0
2017-01-08 09:00:00,46.6858025,47.2490955,6.879,75.3,2.055,2.264,1031.0,76.9,0.0,0.0,9,7,1,1,0
2017-01-08 10:00:00,47.7061975,46.6858025,7.67,72.5,3.354,4.025,1031.0,301.8,0.0,0.0,10,7,1,1,0
