Date,Temperature [°C],Relative Humidity [%],Solar Radiation [W/m2],Power [kW],Power-1 [kW],Hour,DayOfWeek,XGB Predicted Power [kW],GB Predicted Power [kW],Linear Predicted Power [kW],Neural Predicted Power [kW],Decision Tree Predicted Power [kW],Random Forest Predicted Power [kW],Bootstrapping Predicted Power [kW]
2019-02-24 16:00:00,20.02666667,35.68166667,311.5166667,57.387,56.761,16,6,61.416245,57.03227070491355,55.32939733912911,55.32939733912907,57.4954,57.48399641000599,57.23870000000001
2019-02-24 17:00:00,20.01083333,35.42333333,139.3533333,56.882,57.387,17,6,61.416245,57.1810183535973,55.881399406993744,55.88139940699374,57.1908888888889,57.29892664240119,56.97959999999999
2019-02-24 18:00:00,18.99583333,39.17083333,5.015416667,61.505,56.882,18,6,55.897793,55.12993825418598,55.89395120622048,55.89395120622048,60.1358,59.76883864223028,61.5265
2019-02-24 19:00:00,19.08833333,36.88083333,0.8488333333,62.886,61.505,19,6,57.14747,58.617231831143314,60.7675217087213,60.767521708721276,63.05985714285714,63.21152373842983,62.8129
2019-02-24 20:00:00,18.71,37.4325,0.706,58.444,62.886,20,6,56.792736,56.84280794240119,58.09643304515302,58.09643304515299,57.4954,57.73407453176219,58.161300000000004
2019-02-24 21:00:00,18.13666667,37.95333333,1.188166667,55.385,58.444,21,6,55.184925,54.69103913369538,55.53826102104163,55.53826102104159,52.88100000000001,53.70182425800154,54.8698
2019-02-24 22:00:00,17.7875,37.7875,0.8558333333,53.744,55.385,22,6,53.46313,53.931331078179,55.304435233622044,55.30443523362198,52.79133333333334,53.301048177105216,53.396899999999995
2019-02-24 23:00:00,16.19333333,44.455,0.8674166667,53.885,53.744,23,6,52.46813,52.44760095445782,53.21541460442576,53.21541460442569,53.00428571428572,52.817958580571315,53.75260000000001
2019-02-25 00:00:00,14.705,51.18666667,0.6599166667,53.403,53.885,0,7,52.255493,52.09135229217696,52.09768333846257,52.09768333846279,51.02419999999999,51.76881005991988,52.671400000000006
2019-02-25 01:00:00,13.84,54.3,0.75225,49.773,53.403,1,7,51.809994,52.09135229217696,52.201835318413785,52.20183531841397,49.78575000000001,49.94101276509105,49.758100000000006
2019-02-25 02:00:00,12.77666667,61.2825,2.596166667,49.639,49.773,2,7,50.02232,49.958114974210616,49.62210824958743,49.62210824958761,49.019666666666666,49.255129273125256,49.67230000000001
